Table     4.02
 
*** WEEKDAY INCREMENTAL LINKED TRANSIT TRIPS (All Transit/All car HH) (VS. NO-BUILD) ***
District to District MODEL Summary for Scenario  3: Y2045 BUILD                             
All Purposes All Transit All Access All car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
Table     4.02
 
*** WEEKDAY INCREMENTAL LINKED TRANSIT TRIPS (All Transit/All car HH) (VS. NO-BUILD) ***
District to District MODEL Summary for Scenario  3: Y2045 BUILD                             
All Purposes All Transit All Access All car HH
Idist     Downt    Downt    West     Lower    MtAub    Corry    UCMed    MtAda    Walnu    Clift    North    Winto    BondH    Xavie    Finne    Colle    Amber    Wethe    Green    Bethe    Kenwo    Milfo    HydeP    Fores    Norwo    Oakle    North    East     West     India    Monfo    MtAir    EPric    Delhi    westw    Upper    N_Bou    Kentu    Devou    EastE    airpo    Other    Total
======= ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
Downt        -5        0        0        0       -4        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       -1        0        0        0        0        0        0        0        0        0       -9
Downt       -14      -28        0        0        0        0        0        0        0        5        0        0        0        0        6        0        0        0        2        0        0        0        0        0        0        0        0        0       -1        0        0        1        0        0        0        3        0        0        0        0        0        0      -25
West         -3       -1       -3       -1       -1        1        2        0        0        1       -1       -2        0        0        0        1        0        0        1        0       -2        0        0        0        0        0        0        0        0        0        0        0        5        0        0       11        0        1        0        0        0        0        7
Lower        -5       -4        0      -10       -1        1        0        0        0       -1        1        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0      -32        0        0        0        0        0        0      -49
MtAub       -12       -4        0      -10       -3        0       -4        0        0        2        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0       -2        0        0        0        0       -2        0       -1        0        0        0        0      -37
Corry         2        0        0        0        0        0        0        0        0        0        6        3        0        0        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0       -1        0        0        0        0        0        0       14
UCMed         0        0        0       -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       -1        0        0        0        0        0        0        0        0        0        0        0       -2
MtAda         0        0        0        0       -3        0        0        0        0        0        0      -12        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       -1        0        0        0        0        0        0        0        0        0        0      -16
Walnu        -1       -1        0        0        0        0        0        0        0        8        0        1        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0       -1        0        0        0        1        0        0        0        0        0        0        8
Clift        15        7        1        1       -2       -1        1        0       12       12        7        0        0        0        3        0        1        0        3        0        0        0        0        0        0        0        0        0        0        0       -4        0        0        0        0       -4        0        0        0        0        1        0       54
North         8       27       -2        1       -4       16        0        0       -3       12      -16        4        0        0        1        2        1        0        4        0        0        0       -1        0        0        0        0        0        0        0        3      -11        0       -1        0       10        0        1        1        0        1        0       53
Winto        -3       -4        0        0        0        0        0       -1        0        0        2        9        0        0        0        0        1        0        5        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3        0        0       -1        0       -1        0        9
BondH         0        0        0        0        0        0        0        0        0        2        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       -2        0        0        0        0        0        0        0        0        0        0        2
Xavie         0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        1        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0       -2        0        0        0        0        0        0        0        0        0        0        2
Finne        28       32        0        0        3        3        4        1        2       10        1        6        0        1       -8        2        1       -1        8        0        0        0        0        0        0        3        0        0        0        0        0        0        7        1        2       19        0        2        1        3        2        0      133
Colle        47       18        1        0        3        8        3        0        1        6       20        0        1        1       -1       -2        2        0        7        0        0        0       -1        0        0        1        0        0        0        0        1        5        5        1        0       27        0        0        5        1        0        0      162
Amber         0        1        0        0        0        0        0        0        0        0        1        0        0        0        0        1        1        0       -1        0        0        0        0        0        0        0        0        0        0        0        0        1        8        0        0        2        0        0        0        0        0        0       15
Wethe         0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        3        0        0        0        0        0        0        0        0        0       -5        0        0        0        0        0        0        0        0        0        0        0        0        0       -1
Green        15        6        1        0        1        2        4        0        0        1        4        5        1        0        1        3        3       -1       86        0        0        0        1        0        0        1        0        0        2        0        2        7        6        1        4        9        0        2        0        0        0        0      169
Bethe         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0       -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Kenwo         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        2
Milfo         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
HydeP         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1
Fores         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Norwo         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        2
Oakle         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        3
North         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
East          0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
West          3        1        0        0        0        0        2        0        0        2        1        3        0        0        0        1        0        0       14        0        0        0        0        0        0        0        0        0        1        0        1        4        1        0        0        5        0        0        0        0        0        0       38
India         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Monfo        -4        3        0        0       -8       -3        0       -2        0        3        3        1        0        0        1        3        0        0       16        0        0        0        0        0       -1       -2        0        0        1        0        4      -25       -2        0        0        7        0        1        0        0        0        0       -4
MtAir         4        2        0        3        1        1        1        0        0        0       -3        1        0        0        1        3        1        0        3        0        0        0        1        0        0        0        0        0        0        0        0        0       26        0       -3        5        0       -1        0        2        0        0       48
EPric        -1       -1        0        0        0        0        0        0        0        6        0       -6        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1       -2        0        0        0        0        0        0        0        0       -1
Delhi         1        0        0       -1        0        0        0        0        0        0        0       -3        0        0        2        4        0        0        4        0        0        0        0        0        0        0        0        0       -1        0       -1        3        1        0        0       16        0        0        0        0        0        0       26
westw         2        1        0        0        1        2        1        0        0        1        1        4        0        0        0        1        0        0        2        0        0        0        0        0        0        0        0        0        0        0       -2        3        0        0        0       13        0        0        0        0        0        0       33
Upper         5        1        0        3        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        2        0        0       -4        0        0        0        0        0        0        8
N_Bou         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Kentu         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        1       -1       -1        0        0        4        0        0        0        0        0        0        6
Devou         0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        1       -2        0        0        0        0        0        0        0        0        0        2
EastE         0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        1        0        0        0        0        0        0        3
airpo         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        1
Other         0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
Total        83       59       -3      -15      -18       31       13       -2       13       72       29       18        3        2        6       28       11       -2      163        0       -1        0        0        0        1        3        0        0       -2        0        1      -15       59       -1        4       94        0        5        6        8        5        0      656

