"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44"
"Table","4.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** WEE","DAY LINK","D TRANSI","TRIPS O","PROJECT","(All Tra","sit/All","ar HH)**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict MODE","Summary","for Scen","rio  3:","2045 BUI","D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Pur","oses All","Transit","ll Acces","All car","HH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idist","Downt","Downt","West","Lower","MtAub","Corry","UCMed","MtAda","Walnu","Clift","North","Winto","BondH","Xavie","Finne","Colle","Amber","Wethe","Green","Bethe","Kenwo","Milfo","HydeP","Fores","Norwo","Oakle","North","East","West","India","Monfo","MtAir","EPric","Delhi","westw","Upper","N_Bou","Kentu","Devou","EastE","airpo","Other","Total"
"Table","4.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** WEE","DAY LINK","D TRANSI","TRIPS O","PROJECT","(All Tra","sit/All","ar HH)**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distric","to Dist","ict MODE","Summary","for Scen","rio  3:","2045 BUI","D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All Pur","oses All","Transit","ll Acces","All car","HH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idist","Downt","Downt","West","Lower","MtAub","Corry","UCMed","MtAda","Walnu","Clift","North","Winto","BondH","Xavie","Finne","Colle","Amber","Wethe","Green","Bethe","Kenwo","Milfo","HydeP","Fores","Norwo","Oakle","North","East","West","India","Monfo","MtAir","EPric","Delhi","westw","Upper","N_Bou","Kentu","Devou","EastE","airpo","Other","Total"
"Downt","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","10"
"Downt","0","3","0","0","0","0","0","0","0","26","0","2","0","0","29","0","0","0","6","0","0","0","0","0","0","0","0","0","1","0","0","25","0","0","0","12","0","0","0","0","0","0","104"
"West","0","0","1","0","0","0","0","0","0","5","11","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","0","0","0","0","0","0","75"
"Lower","0","0","0","2","0","0","0","0","0","1","4","0","0","0","0","9","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","10","0","0","0","0","0","0","30"
"MtAub","0","0","0","0","1","0","0","0","0","15","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","26"
"Corry","0","0","0","0","0","0","0","0","0","0","23","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","3","0","0","0","0","0","0","46"
"UCMed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","2","0","0","0","0","0","0","8"
"MtAda","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","0","9"
"Walnu","0","0","0","0","0","0","0","0","0","60","0","1","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","72"
"Clift","51","33","3","11","8","20","7","1","32","35","45","4","1","0","16","0","5","0","12","0","2","0","2","0","0","1","0","0","0","0","8","0","1","0","0","232","0","1","1","1","7","0","540"
"North","107","304","4","4","14","99","39","2","7","181","2","7","0","1","1","16","6","0","23","0","1","0","1","0","0","1","0","0","0","0","4","24","10","6","2","146","0","3","1","0","6","0","1020"
"Winto","8","9","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","25","0","1","5","0","3","0","74"
"BondH","0","0","0","0","0","0","0","0","0","17","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","1","0","0","0","0","0","0","50"
"Xavie","0","2","0","0","0","0","0","0","0","7","2","0","0","0","3","7","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","33"
"Finne","159","165","1","2","17","11","18","4","11","41","11","44","0","3","3","55","14","0","125","1","0","0","0","0","1","13","0","0","0","0","4","3","17","4","8","111","0","8","2","12","9","0","876"
"Colle","216","75","3","0","12","24","16","0","14","90","171","10","1","6","7","7","10","0","14","1","3","0","0","0","1","9","0","0","0","0","7","43","24","7","1","112","0","1","11","3","10","0","910"
"Amber","2","5","1","1","1","0","0","0","0","2","6","0","0","0","0","2","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","4","11","0","2","9","0","0","0","0","1","0","53"
"Wethe","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Green","61","34","3","4","3","5","10","1","7","2","13","10","5","0","7","17","3","1","36","0","0","0","3","0","2","5","0","0","1","0","8","16","16","2","9","37","0","3","0","1","7","0","332"
"Bethe","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Kenwo","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","11"
"Milfo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"HydeP","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9"
"Fores","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3"
"Norwo","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Oakle","0","1","0","1","0","0","0","0","0","2","1","0","0","0","0","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","0","17"
"North","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"West","6","2","0","0","1","1","3","0","0","4","1","5","0","0","0","1","0","0","4","0","0","0","1","0","0","0","0","0","0","0","1","4","1","0","0","8","0","0","0","0","0","0","45"
"India","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Monfo","88","34","1","19","21","20","12","6","5","18","7","4","0","0","0","12","0","0","37","0","0","0","0","0","0","1","0","0","1","0","1","17","4","0","1","27","0","3","0","1","3","0","344"
"MtAir","16","12","0","0","3","2","6","1","0","2","3","0","0","0","3","9","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","28","0","5","1","0","121"
"EPric","1","0","0","0","0","0","0","0","0","11","0","1","0","0","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Delhi","3","2","0","1","0","0","1","0","0","2","3","3","0","0","5","11","0","0","17","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","17","0","0","0","0","0","0","71"
"westw","13","5","0","1","2","4","3","0","1","2","1","0","0","0","0","2","1","0","26","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","26","0","3","0","0","0","0","96"
"Upper","51","17","0","22","0","1","0","1","0","0","3","8","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","25","0","2","0","1","0","0","134"
"N_Bou","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Kentu","1","0","0","0","0","0","0","0","0","1","5","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","9","3","0","0","0","6","0","0","0","0","0","0","30"
"Devou","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8"
"EastE","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","5","0","0","0","0","0","0","20"
"airpo","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","790","705","17","71","83","189","117","17","77","537","322","115","8","10","77","173","43","2","376","3","7","0","7","1","6","31","0","0","5","0","62","190","86","22","24","900","0","53","21","25","47","0","5220"
