"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44"
"Idist","Downt","Downt","West","Lower","MtAub","Corry","UCMed","MtAda","Walnu","Clift","North","Winto","BondH","Xavie","Finne","Colle","Amber","Wethe","Green","Bethe","Kenwo","Milfo","HydeP","Fores","Norwo","Oakle","North","East","West","India","Monfo","MtAir","EPric","Delhi","westw","Upper","N_Bou","Kentu","Devou","EastE","airpo","Other","Total"
"Downt","-2","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","1","0","0","0","0","0","0","-4"
"Downt","-13","-26","0","0","0","0","0","0","0","3","0","0","0","0","7","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","0","-22"
"West","-3","-1","-4","-1","-1","1","2","0","0","1","-1","-3","0","0","0","1","0","0","2","0","-2","0","0","0","0","0","0","0","0","0","0","0","6","0","0","9","0","0","0","0","0","0","4"
"Lower","-5","-3","0","-11","-1","1","0","0","0","-1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","-26","0","0","0","0","0","0","-43"
"MtAub","-9","-3","0","-10","-3","0","-4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","0","0","0","0","-2","0","-1","0","0","0","0","-33"
"Corry","2","0","0","0","0","0","0","0","0","0","8","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","-1","0","0","0","0","0","0","16"
"UCMed","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","-1","0","0","0","0","0","0","0","0","0","-3"
"MtAda","0","0","0","0","-3","0","0","0","0","0","0","-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","0","0","0","0","0","0","0","0","0","0","-16"
"Walnu","-1","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","1","0","0","0","0","0","0","3"
"Clift","17","7","1","0","-3","-2","1","0","11","10","6","1","0","0","4","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","-5","0","0","0","0","-6","0","0","0","0","1","0","49"
"North","7","27","-2","1","-4","18","-1","0","-3","8","-20","6","0","0","1","1","1","0","5","0","0","0","-1","0","0","0","0","0","0","0","3","-13","-1","-2","0","6","0","1","1","0","1","0","40"
"Winto","-4","-4","-1","0","0","0","0","-1","0","0","1","10","0","0","0","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","-1","1","0","0","1","0","0","-1","0","0","0","6"
"BondH","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3","0","0","0","0","0","0","0","0","0","0","0"
"Xavie","0","0","0","-1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","-5","0","0","0","0","0","0","0","0","0","0","0"
"Finne","31","30","0","0","3","4","3","1","2","7","1","8","0","1","-8","2","1","-1","7","0","0","0","0","0","0","4","0","0","0","0","0","1","8","1","2","15","0","2","1","3","2","0","130"
"Colle","48","18","1","0","3","9","2","0","1","4","22","0","1","2","-1","-2","2","0","6","0","0","0","-1","0","0","1","0","0","0","0","1","5","6","1","0","17","0","0","4","1","1","0","154"
"Amber","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","2","10","0","0","2","0","0","0","0","0","0","16"
"Wethe","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Green","17","6","1","0","1","2","4","0","0","1","5","6","2","0","2","3","4","-1","78","0","0","0","1","0","0","1","0","0","2","0","3","9","6","1","4","7","0","2","0","0","0","0","167"
"Bethe","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Kenwo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3"
"Milfo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HydeP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Fores","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Norwo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2"
"Oakle","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"North","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"West","2","1","0","0","0","0","1","0","0","2","1","4","0","0","0","1","0","0","13","0","0","0","0","0","0","0","0","0","1","0","1","4","1","0","0","4","0","0","0","0","0","0","37"
"India","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Monfo","-4","3","0","0","-9","-3","0","-2","0","2","3","1","0","0","1","3","0","0","14","0","0","0","0","0","0","-2","0","0","1","0","4","-36","-2","0","0","5","0","1","0","0","0","0","-23"
"MtAir","5","2","1","4","1","1","1","0","0","0","-3","2","0","0","1","3","1","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","31","0","-6","4","0","-2","0","2","0","0","50"
"EPric","0","-1","0","0","0","0","0","0","0","5","0","-6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-2","0","0","0","0","0","0","0","0","-2"
"Delhi","1","0","0","-1","0","0","0","0","0","0","0","-3","0","0","2","3","0","0","3","0","0","0","0","0","0","0","0","0","-1","0","-2","3","1","0","0","13","0","0","0","0","0","0","21"
"westw","2","1","0","0","1","2","1","0","0","1","1","6","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","-2","3","0","0","0","7","0","0","0","0","0","0","28"
"Upper","4","1","0","3","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","-2","0","0","0","0","0","0","9"
"N_Bou","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kentu","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","-1","-1","0","0","3","0","0","0","0","0","0","4"
"Devou","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","-2","0","0","0","0","0","0","0","0","0","1"
"EastE","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2"
"airpo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","97","61","-4","-15","-17","33","10","-3","11","51","28","27","4","2","8","24","13","-2","148","0","-1","0","0","0","1","3","0","0","0","0","0","-27","67","-1","2","60","0","5","5","8","5","0","602"
